darmstadtium	darmstadtio	darmstadtio	darmstadtium	darmstadtium	ダルムスタチウム
dativus	dativo, caso dativo	caso dativo	datif, cas datif	dative case, third case, dative	与格
daucum	carota	zanahoria	carotte	carotte, carrot, have a slash	ニンジン
de facto	de facto, di fatto	de facto, de hecho	de facto, de fait	de facto	
de gustibus non est disputandum	a ciascuno il suo	cada quién a su gusto, cada loco con su tema, para gustos hay colores	chacun à son goût, à chacun son goût, à chacun ses goûts, chacun ses goûts, des goûts et des couleurs, on ne discute pas	to each his own, each to his own, to each their own, there's no accounting for taste, different strokes for different folks	十人十色, それぞれ自分自身に
dea	dea, divinità	diosa	déesse	goddess	女神, めがみ
Decalogus	Dieci Comandamenti	Diez Mandamientos, Diez Palabras, Decálogo	Décalogue	Ten Commandments, Decalogue	
decedo	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
decem	dieci	diez	dix	ten	十
december	dicembre	diciembre	décembre	December	十二月, 師走, 12月
December	dicembre	diciembre	décembre	December	十二月, 師走, 12月
decigramma	decigrammo	decigramo	décigramme	decigram	
decimetrus	decimetro	decímetro	décimètre	dm	
decimum	decimo	décimo, diezmo	dixième	tenth, 10th	
decimus	decimo, 10º	décimo	dixième, 10ème, 10e	tenth, 10th	十番目
decompensatio cordis	insufficienza cardiaca	insuficiencia cardiaca, insuficiencia cardíaca	insuffisance cardiaque	heart failure, congestive heart failure, HF, CHF	
decubitus	decubito, lesione da pression, lesione da pressione	escara	escarre	bedsore, pressure ulcers, decubitus ulcer, pressure ulcer	褥瘡
decuria	decuria			decury	
decurio	decurione	decurión		decurio	
deesse	mancare	errar	manquer, rater	miss	当てそこなう
defecare	defecare, cacare, cagare, andare di corpo, fare la cacca	defecar, cagar	déféquer, chier, faire caca, caguer, aller à la selle, couler un bronze, faire popo, mouler un cake, démouler un cake, poser une pêche, déposer une pêche, tartir	shit, defecate, crap, defæcate, make, take a shit, take a crap, stool, ca-ca	大便をする, くそをする
defleo	lamentare, lamentarsi	lamentar	se lamenter	lament	
deformis	brutto	feo, fea	laid, moche	ugly	醜い, 見苦しい, 格好悪い
degradatio	degradazione, destituzione	degradación	dégradation, destitution, déchéance, avilissement	degradation	
dehinc	da ora, d'ora in poi, d'ora in avanti	desde ahora, de ahora en adelante	d'ores et déjà, désormais, dorénavant, dores et déjà, dors et déjà, d'ors et déjà	from now on, as of now, henceforth, henceforward, as from now	今や, 今後, これ以後, これから
deifico	deificare	deificar, endiosar	déifier, apothéoser	deify, apotheosize, apotheosise	
deletio	delezione	deleción, deleción cromosómica	délétion, cassure chromosomique	chromosomal deletion, deletion, deletion mutation, gene deletion, deleción, deleción cromosómica	欠失
demergere	affondare, inabissarsi, inabissare	naufragar, hundir, sumergir, sumir	couler, naufrager, faire naufrage, sombrer, saborder	sink, settle, go down, go under	
democratia	democrazia	democracia	démocratie	democracy	民主主義, 民主, デモクラシー
demonstrare	dimostrare, provare	probar, comprobar, demostrar, establecer	prouver, démontrer, établir	prove, demonstrate, establish, show, shew	証明する
dentiscalpium	stuzzicadenti	mondadientes, escarbadientes	cure-dent	toothpick	爪楊枝, ようじ
deprimere	affondare, inabissarsi, inabissare	naufragar, hundir, sumergir, sumir	couler, naufrager, faire naufrage, sombrer, saborder	sink, settle, go down, go under	
descisco	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
desertum	deserto	desiertos, desierto	désert	desert	砂漠
desiderare	mancare; volere, desiderare	errar; querer	manquer, rater; vouloir	miss; want	当てそこなう; 欲しい
designare	mostrare, presentare	mostrar, presentar, indicar, revelar	montrer, présenter	show, display, present, reveal, indicate	見せる, 示す, 表す
destituta	frustrato, deluso	frustrado, decepcionado	frustré, déçu	frustrated, disappointed	失望
deus	dio, divinità	dios, deidad	divinité, dieu	deity, divinity, god	
Deus	Dio, Padre, Padre	Dios	Père, dieu, Père, Dieu, Créateur, Être suprême, Notre-Seigneur, Saint des saints, Tout-Puissant, Père, Notre-Seigneur	Father, God, Lord, Father	
deus ex machina	deus ex machina			deus ex machina	デウス・エクス・マキナ
deversorium	albergo, hotel	hotel	hôtel	hotel	ホテル, 旅館
dextra	destro, destra	derecho, derecha	droit, à droite, droite	right	
diagramma Hertzsprung-Russell	diagramma Hertzsprung-Russell	diagrama de Hertzsprung-Russell, diagrama H-R	diagramme de Hertzsprung-Russell	Hertzsprung-Russell diagram, H-R diagram	ヘルツシュプルング・ラッセル図
dico	dire, affermare, enunciare, raccontare	decir, manifestar	dire	say, tell, state	言う
dictionarius	dizionario	diccionario	dictionnaire, dico	dictionary	辞書
dies	giorno; giorno	día; día, jornada	jour; jour, journée	day; day	; 日
Dies	data	fecha	date	date	年月日, 日付
dies Iovis	giovedì	jueves	jeudi	Thursday	木曜日
dies Jovis	giovedì	jueves	jeudi	Thursday	木曜日
dies Lunae	lunedì	lunes	lundi	Monday	月曜日
digiti signum	impronta digitale, dermatoglifo, impronta	huella dactilar, huella digital, impresión dactilar, impresión digital	empreinte digitale, dactylogramme	fingerprint, dactylogram	指紋
digitus	dito; dito del piede	dedo, dedo, dedo; dedo de pie	doigt, doigt, doigt; orteil, doigt de pied	finger; toe	指, 指; つま先, 足指
digitus medius	medio, dito medio	medio, dedo medio, dedo corazón	majeur, médius, médium, doigt du milieu	long finger, middle finger, tall finger, fuck finger, tall man	中指
digitus tertius	medio, dito medio	medio, dedo medio, dedo corazón	majeur, médius, médium, doigt du milieu	long finger, middle finger, tall finger, fuck finger, tall man	中指
diluculum	alba, aurora	alba, aurora, amanecer, madrugada, dilúculo, lubricán, crepúsculo matutino	aube, pointe du jour	dawn	明け方
diluvium	piena, inondazione	crecidas	crue, inondation	flood	洪水
dimidium	metà	mitad	moitié	half	半分
diploma gubernationis	patente di guida	permiso de conducir, licencia de conducir	permis de conduire, permis, bleu	driver's license, driving licence, driver's licence	運転免許
discedo	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
discere	apprendere, imparare, acquisire	aprender	apprendre	learn, study, larn, acquire	習う, 学ぶ
discrepantia	discrepanza	discrepancia	divergence	discrepancy	違い
dispar	disuguale, ineguale, diseguale	desigual	inégal	unequal	
dives	ricco, ricca, facoltoso	rico, adinarado	riche	rich, wealthy, well off	裕福, 豊か, 富有, 金持
divinare	predire, prevedere, augurare	predecir, profetizar, vaticinar, presagiar	augurer	predict, foretell, foreshow, bode, augur, abode, prophesy	
divisio	divisione	división	division	division (biology), division	
divitiae	ricchezza	opulencia, riquesa, riqueza, opulencia	opulence, richesse	wealth	
diēs Saturnī	sabato	sábado	samedi	Saturday	土曜日
diū	tutto il giorno	todo el día	toute la journée	all day, all day long	終日, 一日中
docens	insegnante; insegnante, docente	maestro, profesor, maestra, profesora; maestra, profesora	professeur; professeure, professeur	teacher; female teacher	先生; 
docere	insegnare	enseñar, instruir, adiestrar, educar	enseigner	teach	教える
doctor	insegnante	maestro, profesor, maestra, profesora	professeur	teacher	先生
doctrix	insegnante, docente	maestra, profesora	professeure, professeur	female teacher	
dogma	dogma	dogma	dogme	dogma	教義
dolor	dolore	dolor	douleur	pain, distress, dread	痛み
dominatio	dittatura	dictadura	dictature	dictatorship	独裁政治, 独裁
dominus	dirigente, manager, direttore, capo	jefe, gerente	chef	supervisor, boss, line manager, manager	
domus	casa, domicilio	casa	maison, domicile	house, home, home, dwelling	家
donare	regalare, offrire, donare	regalar, ofrecer, dar, donar	offrir, donner	offer, gift, give	
donum	regalo, dono, presente	regalo, obsequio, presente	cadeau, présent, don	gift, present	贈り物, プレゼント, ギフト
dormire	dormire	dormir, reposar	dormir, pioncer, faire dodo, faire dodo	sleep, rest, kip, slumber	眠る, 寝る
dormitor	dormiente	dormilón	dormeur	sleeper	
dos	dote	dote	dot	dowry, trousseau, tocher	持参金
draco	drago	dragón	dragon	dragon	龍, 竜, ドラゴン
duae	due	dos	deux	two	二
dubnium	dubnio	dubnio	dubnium	dubnium	ドブニウム
ducenti	duecento	doscientos	deux cents, deux-cents	two hundred	二百
duedenonaginta	ottantotto	ochenta y ocho	quatre-vingt-huit	eighty-eight	八十八
dulcedo	dolcificante, edulcorante	edulcorantes, edulcorante	édulcorant	sweetener, sugar substitute	甘味料
dulcis	dolce	dulce, suave	doux, sucré	sweet	甘い
duo	due	dos	deux	two	二
duodecim	dodici	doce	douze	twelve	十二
duodequadraginta	trentotto	treinta y ocho, 38	trente-huit, 38	thirty-eight	三十八
duodequinquaginta	quarantotto	cuarenta y ocho, 48	quarante-huit	forty-eight	四十八
duodesexaginta	cinquantotto	cincuenta y ocho, 58	cinquante-huit	fifty-eight	五十八
duodetriginta	ventotto	veintiocho, 28	vingt-huit, 28	twenty-eight	二十八
duodēnōnāgintā	ottantotto	ochenta y ocho	quatre-vingt-huit	eighty-eight	八十八
duodēvīgintī	diciotto	dieciocho	dix-huit	eighteen	十八
Durius	Duero	Duero		Douro	
dysprosium	disprosio	disprosio	dysprosium	dysprosium	ジスプロシウム
dēductiō	deduzione	deducción, razonamiento deductivo	déduction	deduction, deductive reasoning, synthesis	演繹
dūmus	cespuglio	arbusto	buisson	bush, shrub, shrub	灌木, 低木, 茂み
eatenus… quatenus		cuanto, tanto… quanto; tanto… quanto, según, tanto como, hasta donde	autant que, dans la mesure où, en proportion de ce que; autant que, dans la mesure où, selon que	as much as; as much as, according as, as, so far as	
ebur	avorio	marfil	ivoire	ivory	象牙質, 象牙
ecce		he aquí	voici	behold	
ecclesia	chiesa	iglesia	église	church, church building	教会
edere	mangiare	comer, ingerir, alimentarse	manger, consommer, avaler, bouffer	eat, consume, swallow	食べる, 食う, 召し上がる, 頂く, 食事する
egredior	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
Eichhornia crassipes	giacinto d'acqua	jacinto acuático	jacinthe d'eau	water hyacinth	ホテイアオイ
Eichornia crassipes	giacinto d'acqua	jacinto acuático	jacinthe d'eau	water hyacinth	ホテイアオイ
einsteinium	einstenio	einsteinio, einstenio	einsteinium	einsteinium	アインスタイニウム
electricitas	elettricità	electricidad	électricité	electricity	電気
electron	elettrone	electrón	électron	electron	電子
elegantia	eleganza	elegancia	élégance	elegance	優雅さ
elephantus	elefante	elefante	éléphant	elephant	象
emere	acquistare, comprare, comperare	comprar, adquirir	acheter	buy, purchase	買う
emporium	centro commerciale	centro comercial	centre commercial, centre d'achat, mail, parc commercial	shopping centre, shopping mall, shopping arcade, shopping precinct, mall, shopping center, shopping centre	モール, ショッピングセンター, ショッピングモール
encephalitis	encefalite	encefalitis	encéphalite	encephalitis	脳炎
entomologia	entomologia	entomología	entomologie	entomology	昆虫学
epigraphia	epigrafia	epigrafía	épigraphie	epigraphy	
epilepsia	epilessia	epilepsia	épilepsie	epilepsy	てんかん
epiphania	epifania	epifanía		epiphany	
Epiphania	Befana, Epifania	Epifanía	Épiphanie, fête des Rois	Epiphany, Twelfth Day	公現祭, エピファニー
epistemologia	epistemologia, filosofia della scienza	epistemología, filosofía del conocimiento, ciencia del conocimiento	épistémologie	epistemology	
epistula	lettera, epistola	carta, misiva	lettre, missive	letter	手紙
epistylium	architrave			architrave	
epularum amator	buongustaio, gourmet, gastronomo, amante del cibo, amante della buona tavola	gourmet, gastrónomo	gourmet, bec-fin, fine-gueule, gastronome	gourmet, gastronome, epicure, epicurean, connoisseur, foodie	食通, 料理通, グルメ
equus	cavallo	ganado equino, caballo, ganado equino	cheval	horse	馬
erbium	erbio	erbio	erbium	erbium	エルビウム
erectus	eretto	erguido, erguida, erecto, erecta	droit, dressé	erect	
eremita	eremita	ermitaño, ermitaña, eremita	ermite	hermit	世捨て人
eruca	bruco	oruga, lagarta	chenille	caterpillar	毛虫, 芋虫
esse		ser	être	be	
et cetera	eccetera, ecc, ecc., eccetera eccetera	etc, etcetera, etcétera, etc.	et caetera, et cétéra, et cetera, et cætera, etc., et ainsi de suite, & cetera, &c.	etc, and so forth, etcetera, and so on, etc., et cetera, et cætera, et caetera, &c., &c	など, 等
Etrusci	Etruschi	Etruscos	Étrusques	Etruscans	
etymologia	etimologia, etimologia	etimología, etimología	étymologie, étymologie	etymology	語源, 語源
Euphrates	Eufrate	Eufrates	Euphrate	Euphrates	
Europa	Europa	Europa	Europe	Europe	欧州, ヨーロッパ
europium	europio	europio	europium	europium	ユウロピウム
Evangelium	vangelo, Vangelo	Evangelio	évangile, Évangile	gospel	福音書
evigilare	svegliarsi	despertarse	se réveiller	wake, awake, awaken, waken, wake up, rouse, arouse	目覚める, 起きる, 目を覚ます
ex aequo	ex aequo	ex aequo		ex aequo	
ex cathedra		ex cathedra		ex cathedra	
Excomunicatio	scomunica	excomunión, excomulgación	excommunication	excommunication	
excusa	scusi, scusa, mi scusi, mi scuso, spiacente	lo siento, discúlpame, perdóname	Je suis desolée, pardon, je suis désolé, excusez-moi, désolé, excuse-moi	sorry	すみません, ごめんなさい
excusate	scusi, scusa, mi scusi, mi scuso, spiacente	lo siento, discúlpame, perdóname	Je suis desolée, pardon, je suis désolé, excusez-moi, désolé, excuse-moi	sorry	すみません, ごめんなさい
exeo	partire, andare via, mettere le ali	partir, salir, irse, marcharse	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
exequatur	exequatur	exequátur	exequatur	exequatur	
exercitator	allenatore	entrenador, entrenadora	entraineur, entraîneur, coach, coach sportif, entraineur sportif, entraîneur sportif	conditioner, trainer, coach	コーチ
exercitus	esercito	ejército	armée	army, legion	陸軍
exhibere	mostrare, presentare	mostrar, presentar, indicar, revelar	montrer, présenter	show, display, present, reveal, indicate	見せる, 示す, 表す
exitium	morte; morte	muerte, desaparición, fallecimiento, defunción; muerte	décès, mort; mort	case of death, event of death, death, fatality; death, dead	死; 死, 死亡
exitus	uscita	salida	sortie	exit, way out, issue, outlet	出口
expergisci	svegliarsi	despertarse	se réveiller	wake, awake, awaken, waken, wake up, rouse, arouse	目覚める, 起きる, 目を覚ます
exsistentia	esistenza	existencia	existence	existance, existence, beinghood	存在
exsucare	asciugare, seccare, essiccare	secar, enjugar	essuyer, sécher	dry	乾かす
exsudare	essudare, trasudare	exudar	exsuder	exude	
extraculum	cavatappi	sacacorchos	tire-bouchon	corkscrew	コルクスクリュー
extraordinarius	straordinario	extraordinario, extraordinaria	epätavallinen, extraordinaire	extraordinary	異常
eō	camminare	caminar, ir a pie, ir andando, andar, ir a pie, ir andando, ir	marcher, promener	walk, wandelen, wandelen	歩く
fabula	favola, fola, fiaba	cuento de hadas	conte de fées	fairy tale	童話, お伽話
fabulari	chiacchierare, ciarlare	charlar	chat, bavarder, causer, converser, discuter le coup, deviser, papoter, parloter, parlotter, faire la causette	chat, babble	
fabulor	dire, affermare, enunciare, raccontare; chattare	decir, manifestar; chatear, dialogar en línea	dire; chatter, clavarder, tchatter	say, tell, state; chat	言う; 
facies	viso, faccia	cara, rostro	face, visage, figure	face	顔
facilis	facile, semplice, comodo	fácil, pan comido, pan comido	facile, aisé, élémentaire, simple, fastoche	easy, piece of cake, like shooting fish in a barrel, convenient, simple	簡単な
faeniculum	finocchio	hinojo	fenouil, fenouil commun	fennel	フェンネル
fallo	fraintendere, equivocare, confondere, capire male, giudicare male, malgiudicare, male interpretare	confundir	méprendre, mécomprendre, mal interpréter, mal comprendre	misinterpret, misread, misunderstand, misconstrue, misapprehend, misconceive, mistake	
fallor	fraintendere, equivocare, confondere, capire male, giudicare male, malgiudicare, male interpretare	confundir	méprendre, mécomprendre, mal interpréter, mal comprendre	misinterpret, misread, misunderstand, misconstrue, misapprehend, misconceive, mistake	
falx foenaria	falce	guadaña	faux	scythe	大鎌
familia	famiglia	familia	famille	family	
farina	farina	harina	farine	flour, meal	粉
fascia	reggiseno, reggipetto	sostén, sujetador	soutien-gorge, brassière, soutif, soutien-doudounes, soutien-machins, soutien-nibards, sous-tif	bra, brassiere	ブラ, ブラジャー, 乳押さえ
fascinare	ammaliare, stregare, portare iella, incantare, affascinare, iettare	hechizar, embrujar, encantar	ensorceler, envouter	bewitch, ensorcell, ensorcel, jinx, witch	
fatidica	indovino, veggente, chiaroveggente	adivino, adivina, adivinador, clarividente, adivinadora, vidente	prophète, devin, voyant	diviner, soothsayer, prophet, foreteller, fortune-teller, seer, clairvoyant	予言者
Fatum	fato, destino	destino	destin	destiny, fate	
fax	cometa	cometa	Comète, comète, astre chevelu	comet, faxed star	彗星
febris	febbre	fiebre, temperatura	fièvre	fever, pyrexia	熱病, 熱
februarius	febbraio	febrero	février	February	月, 二月, 如月, 2月
Februarius	febbraio	febrero	février	February	月, 二月, 如月, 2月
februārius	febbraio	febrero	février	February	月, 二月, 如月, 2月
feles	ghatto, gatto, micio	gato, gata	chat, minou	cat	猫
felicem natalem	buon compleanno	feliz cumpleaños	bon anniversaire, joyeux anniversaire, bonne fête	happy birthday	お誕生日おめでとうございます, 誕生日おめでとう
felis	ghatto, gatto, micio	gato, gata	chat, minou	cat	猫
felix dies natalis	buon compleanno	feliz cumpleaños	bon anniversaire, joyeux anniversaire, bonne fête	happy birthday	お誕生日おめでとうございます, 誕生日おめでとう
felix sit dies natalis	buon compleanno	feliz cumpleaños	bon anniversaire, joyeux anniversaire, bonne fête	happy birthday	お誕生日おめでとうございます, 誕生日おめでとう
fellatio	pompino, fellatio, bocchino, pompa, fellazione	mamada, felación, sexo oral, fellatio	fellation, pipe, turlutte, turlutte	fellatio, blowjob, cock sucking, fellation	尺八, しゃくはち, フェラ, フェラチオ
femina	donna	mujer	femme, meuf, gonzesse, nana, bonne femme	woman, female	女, 女
femur	femore	fémur	fémur	femur, thigh bone, thighbone	大腿骨
fenestra	finestra	ventana	fenêtre	window	窓
feriae	vacanza	vacaciones, vacación	vacances, congé	holiday, opor-garai	休暇, 休み, バカンス, ヴァカンス, バケーション
feritas	crudeltà	crueldad	cruauté	cruelty	
fermium	fermio	fermio	fermium	fermium	フェルミウム
ferramenta	coltelleria, posate	cubertería	couverts	cutlery, silverware, tableware	刃物
ferrarius	fabbro	herrero, herrera	forgeron	blacksmith	鍛治屋
ferrivia	ferrovia	ferrocarriles, ferrocarril	voie ferrée, chemin de fer	railway	鉄道
ferro levigare	stirare	planchar	repasser	iron	アイロンをかける
ferrugo	ruggine	óxido, herrumbre	rouille	rust	錆
ferrum	ferro	hierro	fer	iron	鉄
fervere	bollire, far bollire, portare a ebollizione	hervir, bullir	bouillir, faire bouillir, porter à ébullition	boil, bring to a boil, bring to the boil	沸かす, 沸騰させる, 煮る
fessus	stanco	cansado, cansada, fatigado, fatigada	fatigué, las	tired, aweary, weary	疲れた
fibula		peroné	fibula, péroné	fibula, calf bone	
fieri	diventare, divenire	volverse, hacerse, convertirse	devenir	become, turn	なる
filia	figlia	hija	fille	daughter	娘
filiorum	bambini, bambine	niños	enfants	children	
finire	terminare, finire, concludere	terminar, concluir, liquidar, acabar	finir, conclure, achever	finish, conclude	終える, 終了する
finis	morte; fine	muerte; fin	mort; fin	death, dead; end	死, 死亡; 終わり
fiordum	fiordo	fiordo	fjord, fiord	fjord, fiord	フィヨルド
firmus	forte, possente, potente	fuerte	fort, puissant	strong, powerful, forceful	強い
flagitium	oltraggio	atrocidad	outrage	outrage, atrocity	乱暴, 暴行
flagrans	veemente	vehemente, violento, violenta	véhément	vehement, trigger-happy	激しい, 激烈, 猛烈
flamma	fiamma	llama, flama	flamme	flame	炎
flavus	giallo; giallo	amarillo, amarilla; amarillo	jaune; jaune	yellow; yellow	黄色い; 黄色
flere	piangere	llorar	pleurer, chialer	cry, weep	泣く
florere	fiorire	florecer	fleurir	blossom, bloom, flower	咲く
florescere	fiorire	florecer	fleurir	blossom, bloom, flower	咲く
flos	fiore	flor	fleur	flower, bloom, blossom	花, はな, 華
flumen	fiume	río	fleuve, rivière	river	川
Flumen Nigrum		Negro, Guianía	rio Negro	Black, Black River	ネグロ川
fluor	fluoro	flúor	fluor	fluorine	フッ素
fluvius	fiume	río	fleuve, rivière	river	川
flāvus	giallo	amarillo	jaune	yellow	黄色
focus	camino, caminetto	hogar	cheminée, âtre, foyer	fireplace	暖炉
fodere	scavare	cabar, excavar, cavar	creuser	dig	掘る
Foederatae Micronesiae Civitates	Micronesia, Stati Federati di Micronesia	Micronesia, Estados Federados de Micronesia	Micronésie, États Fédérés de Micronésie, États fédérés de Micronésie	Micronesia, Federated States of Micronesia	ミクロネシア
foedus	brutto	feo, fea	laid, moche	ugly	醜い, 見苦しい, 格好悪い
folium	foglia	hoja	feuille	leaf	
follis ludi poena	calcio di rigore, rigore	penalti, penal, tiro penal	penalty, coup de pied de réparation, péno, tir de réparation, onze mètres	penalty kick, penalty, PK	ペナルティーキック, ペナルティー, PK
for	dire, affermare, enunciare, raccontare	decir, manifestar	dire	say, tell, state	言う
forfex	forbice, forbici	sax, tijeras	ciseaux, paire de ciseaux	scissors, pair of scissors	はさみ, 鋏
formīca	formica	hormiga	fourmi	ant	アリ, 蟻
fornax	forno	horno	four de cuisine, four	oven	オーブン
fors	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
forsan	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
forsit	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
forsitan	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
fortasse	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
fortassis	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
forte	forse, chissà	quizás, posiblemente, acaso, quizá, tal vez	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
fortuna	fortuna, sorte	suerte, fortuna, buena fortuna	chance	luck, good luck, fortune, luck	シャーンス
fortuna dies natalis	buon compleanno	feliz cumpleaños	bon anniversaire, joyeux anniversaire, bonne fête	happy birthday	お誕生日おめでとうございます, 誕生日おめでとう
forum		foro	forum	forum	
Forum Lepidi	Reggio Emilia, Reggio nell'Emilia	Reggio Emilia	Reggio d'Émilie		レッジョ・エミリア
fragum	fragola, fravola; fragola	fresa, frutilla; fresa	fraise; fraisier	strawberry; strawberry plant, strawberry	苺, イチゴ; 
francium	francio	francio	francium	francium	フランシウム
frater	fratello	hermano	frère	brother	兄弟, あに, お兄さん, 兄ちゃん, おとうと, ブラザー
frater consanguineus		medio hermano paterno		paternal half brother	
frater uterinus		medio hermano materno	frère utérin, demi-frère maternel	uterine brother, maternal half brother	
fratris	fratello	hermano	frère	brother	兄弟, あに, お兄さん, 兄ちゃん, おとうと, ブラザー
frequens	frequente	frecuente	fréquent, fréquente	frequent	頻繁
frigidarium	frigidario	frigidarium	frigidarium	frigidarium	
frigidus	freddo	frío, fría	froid	cold	寒い
frons	foglia	hoja	feuille	leaf	
frustula chartacea	coriandoli	confeti, papelillo, chaya, papel picado	confetti	confetti	紙吹雪
frutex	cespuglio	arbusto	buisson	bush, shrub, shrub	灌木, 低木, 茂み
frāgum	fragola, fravola	fresa, frutilla	fraise	strawberry	苺, イチゴ
frōns	fronte	frente	front	forehead	額, おでこ
fuga	volo, fuga	vuelo	vol	flight	飛
fulgur	lampo, fulmine, folgore, saetta	relámpago, rayo	éclair	lightning	雷, 稲妻, 雷光
fumare	fumare	fumar	fumer	smoke	煙る
fumus	fumo	humo	fumée	smoke	煙
funambulus	acrobata	acróbata	acrobate	acrobat, tumbler	アクロバット
fundare	fondare	fundar	fonder	found	
fundus oculi	fondo dell'occhio	fondo de ojo	fond d'œil	fundus, ocular fundus	
funus	funerale	funeral, entierro	funérailles, obsèques, sépulture	funeral	葬式
fur	ladro	ladrón	voleur	thief	泥棒
furari	rubare	robar, hurtar, mangar	voler	steal, bag, pocket	盗む
furca	forchetta	tenedor	fourchette	fork	フォーク
furfur	crusca	salvado, afrecho	son	bran	糠
furnus fusorius	altoforno	altos hornos, alto horno	haut fourneau	blast furnace	高炉
fīlum	stoppino, lucignolo	mecha	mèche	candlewick, candle wick, wick	ろうそくの芯
gacia	gazza	urraca, picaza	pie	magpie	鵲
gadolinium	gadolinio	gadolineo, gadolinio	gadolinium	gadolinium	ガドリニウム
Gaius Iulius Caesar	Giulio Cesare, Cesare	Julio César	Jules César	Julius Caesar	
galbinus	giallastro, gialliccio, giallognolo	amarillento	jaunâtre, flavescent	lutescent, yellowish, flavescent, yellowy	
galerum	cappello	sombrero	chapeau	hat	帽子, ハット
galerus	cappello	sombrero	chapeau	hat	帽子, ハット
Galli	Galli		Gaulois	Gauls	ガリア人
Gallia	Gallia	Galia	Gaule	Gaul	ガリア
Gallicus	gallico	gálico	gaulois	Gallic, Gaulish	
gallina	gallina	gallina	poule	hen	雌鶏
gallium	gallio	galio	gallium	gallium	ガリウム
Gallus	gallico	gálico	gaulois	Gallic, Gaulish	
gallus	gallo	gallo	coq	rooster, cock, cockerel, chanticleer	雄鶏
Gana	Ghana	Ghana, República de Ghana	Ghana	Ghana, Republic of Ghana	ガーナ
garrire	chiacchierare, ciarlare	charlar	chat, bavarder, causer, converser, discuter le coup, deviser, papoter, parloter, parlotter, faire la causette	chat, babble	
Garumna	Garonna	Garona	Garonne	Garonne	ガロンヌ川
gaudium	gioia, allegria	alegría	joie	joy	
gelare	congelare	congelar, helar	geler	freeze	凍る, 凍らせる
geminum perspicillum	binocolo	prismáticos, binoculares	jumelles	binoculars	
gena	guancia	mejilla	joue	cheek	頬
genealogistus	genealogisto	genealogista	généalogiste	genealogist	
gener	genero	yerno, hijo político	beau-fils, gendre	son-in-law	婿
genu	ginocchio	rodilla	genou	knee	膝
genus	genere grammaticale, genere	género, género gramatical, género, género	genre, genre grammatical	Sex, gender, grammatical gender	性
geologia	geologia	geología	géologie	geology	地質学
Germania	Germania	Alemania	Allemagne	Germany, Federal Republic of Germany	ドイツ
germanium	germanio	germanio	germanium	germanium	ゲルマニウム
giraffa	giraffa	jirafa	girafe	giraffe	キリン
glaciare	congelare	congelar, helar	geler	freeze	凍る, 凍らせる
glaciarium	ghiacciaio	glaciares, glaciar	glacier	glacier	氷河
glacies	ghiaccio	hielo	glace	ice	氷
gladiator	gladiatore	gladiador	gladiateur	gladiator	
gladius	spada	espada	épée	sword	刀, 剣, 刀
glans	ghianda	bellota	gland	acorn	どんぐり, 団栗, ドングリ
glaucoma	glaucoma	glaucoma	glaucome	glaucoma	緑内障
gloria	gloria	gloria	gloire	glory	
